sub_category,product_name,salt_composition,product_price,product_manufactured,medicine_desc,side_effects,drug_interactions
Human Insulin Basal,Human Insulatard 40IU/ml Suspension for Injection,Insulin Isophane (40IU),₹133.93,Novo Nordisk India Pvt Ltd,"Human Insulatard 40IU/ml Suspension for Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Human Insulatard 40IU/ml Suspension for Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Insugen-N 40IU/ml Injection,Insulin Isophane (40IU),₹133.36,Biocon,"Insugen-N 40IU/ml Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Insugen-N 40IU/ml Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Insulatard 100IU/ml Flexpen,Insulin Isophane (100IU/ml),₹401.03,Novo Nordisk India Pvt Ltd,"Insulatard 100IU/ml Flexpen is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Insulatard 100IU/ml Flexpen is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Insulin Analogues Basal,Lantus 100IU/ml Solution for Injection,Insulin Glargine (100IU),₹614.16,Sanofi India  Ltd,"Lantus 100IU/ml Solution for Injection is a long-acting type of insulin used to treat types 1 and 2 diabetes mellitus in both adults and children. It provides a steady level of insulin in the body for an entire day and helps control blood sugar levels. This helps to prevent complications of diabetes.Lantus 100IU/ml Solution for Injection can be prescribed alone or along with fast-acting insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. You should use this medicine regularly as per the dose advised to get the maximum benefit. If you stop taking it, your blood sugar levels may rise very high which may put you at risk of serious complications. It is only a part of the treatment program that should also include a healthy diet, regular exercise and weight reduction as advised by your doctor.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it is important to inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include allergy at the injection site like redness, swelling, or hard lumps (lipohypertrophy). Some people gain weight while taking insulin.Do not use this medicine when you have low blood sugar levels. Before starting the treatment, inform your doctor if you have ever had kidney, liver or heart problems. Pregnant or breastfeeding women should consult their doctor before using it.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Insulin Analogues Basal,Lantus Solostar 100IU/ml Solution for Injection,Insulin Glargine (100IU/ml),₹934.24,Sanofi India  Ltd,"Lantus Solostar 100IU/ml Solution for Injection is a long-acting type of insulin used to treat types 1 and 2 diabetes mellitus in both adults and children. It provides a steady level of insulin in the body for an entire day and helps control blood sugar levels. This helps to prevent complications of diabetes.Lantus Solostar 100IU/ml Solution for Injection can be prescribed alone or along with fast-acting insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. You should use this medicine regularly as per the dose advised to get the maximum benefit. If you stop taking it, your blood sugar levels may rise very high which may put you at risk of serious complications. It is only a part of the treatment program that should also include a healthy diet, regular exercise and weight reduction as advised by your doctor.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it is important to inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include allergy at the injection site like redness, swelling, or hard lumps (lipohypertrophy). Some people gain weight while taking insulin.Do not use this medicine when you have low blood sugar levels. Before starting the treatment, inform your doctor if you have ever had kidney, liver or heart problems. Pregnant or breastfeeding women should consult their doctor before using it.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Insulin Analogues Basal,Lantus 100IU/ml Injection,Insulin Glargine (100IU),₹2535.56,Sanofi India  Ltd,"Lantus 100IU/ml Injection is a long-acting type of insulin used to treat types 1 and 2 diabetes mellitus in both adults and children. It provides a steady level of insulin in the body for an entire day and helps control blood sugar levels. This helps to prevent complications of diabetes.Lantus 100IU/ml Injection can be prescribed alone or along with fast-acting insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. You should use this medicine regularly as per the dose advised to get the maximum benefit. If you stop taking it, your blood sugar levels may rise very high which may put you at risk of serious complications. It is only a part of the treatment program that should also include a healthy diet, regular exercise and weight reduction as advised by your doctor.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it is important to inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include allergy at the injection site like redness, swelling, or hard lumps (lipohypertrophy). Some people gain weight while taking insulin.Do not use this medicine when you have low blood sugar levels. Before starting the treatment, inform your doctor if you have ever had kidney, liver or heart problems. Pregnant or breastfeeding women should consult their doctor before using it.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Insulin Analogues Basal,Basalog 100IU/ml Injection,Insulin Glargine (100IU/ml),₹479.87,Biocon,"Basalog 100IU/ml Injection is a long-acting type of insulin used to treat types 1 and 2 diabetes mellitus in both adults and children. It provides a steady level of insulin in the body for an entire day and helps control blood sugar levels. This helps to prevent complications of diabetes.Basalog 100IU/ml Injection can be prescribed alone or along with fast-acting insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. You should use this medicine regularly as per the dose advised to get the maximum benefit. If you stop taking it, your blood sugar levels may rise very high which may put you at risk of serious complications. It is only a part of the treatment program that should also include a healthy diet, regular exercise and weight reduction as advised by your doctor.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it is important to inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include allergy at the injection site like redness, swelling, or hard lumps (lipohypertrophy). Some people gain weight while taking insulin.Do not use this medicine when you have low blood sugar levels. Before starting the treatment, inform your doctor if you have ever had kidney, liver or heart problems. Pregnant or breastfeeding women should consult their doctor before using it.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Insulin Analogues Basal,Basalog 100IU/ml Refill Cartridge,Insulin Glargine (100IU/ml),₹500,Biocon,"Basalog 100IU/ml Refill Cartridge is a long-acting type of insulin used to treat types 1 and 2 diabetes mellitus in both adults and children. It provides a steady level of insulin in the body for an entire day and helps control blood sugar levels. This helps to prevent complications of diabetes.Basalog 100IU/ml Refill Cartridge can be prescribed alone or along with fast-acting insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. You should use this medicine regularly as per the dose advised to get the maximum benefit. If you stop taking it, your blood sugar levels may rise very high which may put you at risk of serious complications. It is only a part of the treatment program that should also include a healthy diet, regular exercise and weight reduction as advised by your doctor.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it is important to inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include allergy at the injection site like redness, swelling, or hard lumps (lipohypertrophy). Some people gain weight while taking insulin.Do not use this medicine when you have low blood sugar levels. Before starting the treatment, inform your doctor if you have ever had kidney, liver or heart problems. Pregnant or breastfeeding women should consult their doctor before using it.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Oral Antidiabetics,Janumet 50 mg/500 mg Tablet,Sitagliptin  (50mg) +  Metformin (500mg),₹323,MSD Pharmaceuticals Pvt Ltd,"Janumet 50 mg/500 mg Tablet is a combination of two medicines that control high blood sugar levels in people with type 2 diabetes mellitus. This helps prevent serious complications of diabetes such as kidney damage and blindness and may reduce your chance of having a heart attack or stroke.Janumet 50 mg/500 mg Tablet can be prescribed alone or together with other diabetes medications. All diabetes medicines work best when used along with a healthy diet and regular exercise. The dose you are given will depend on your condition, blood sugar levels, and what other medicines you are taking. Taking it with meals helps to reduce the chances of developing an upset stomach.You should take it regularly, at the same time each day, to get the most benefit and you should not stop unless your doctor recommends it. It is controlling your blood sugar levels and helping to prevent serious complications in the future. It is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. Your lifestyle plays a big part in controlling diabetes.The most common side effects of taking Janumet 50 mg/500 mg Tablet include diarrhea, nausea, vomiting, upset stomach, headache, and sore throat. Low blood sugar level (hypoglycemia) is a possible side effect if you are also taking other diabetes medicines like insulin or sulfonylurea, so you need to know how to recognize and deal with it.This medicine is not suitable for everyone. Before taking it, you should let your doctor know if you have ever had kidney, liver or heart disease, problems with your pancreas, or if you drink a lot of alcohol. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. Some other medicines can affect this one so tell your doctor about all the medicines you are taking to make sure you are safe. You should try to avoid drinking alcohol as it lowers blood glucose. Your doctor will check your kidney function and blood sugar levels before and during treatment.","Diarrhea,Nausea,Vomiting,Upset stomach,Headache,Nasal congestion (stuffy nose),Sore throat,Respiratory tract infection,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea","{""drug"": [], ""brand"": [], ""effect"": []}"
Oral Antidiabetics,Nefrosave Tablet,Taurine (500mg) + Acetylcysteine (150mg),₹156.02,Fourrts India Laboratories Pvt Ltd,"Nefrosave Tablet is a combination medicine used in the treatment of diabetic kidney disease. It protects the kidneys from damage and reduces the risk of kidney failure.Nefrosave Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea and vomiting. These are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects.Before taking it, you should tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. Also tell your doctor if you are pregnant, planning pregnancy or breastfeeding.","Nausea,Vomiting,Rash,Fever","{""drug"": [], ""brand"": [], ""effect"": []}"
